ATLH302	...God of the Volcano who resides in Mount Acidophilus...
ATLH303	...Accept this sacrifice we make unto you...
ATLH304	...in the form of flesh with high amounts of fiber and wholesome cellulose...
ATLH305	...free of all fat and trans-fatty acids...
ATLH306	...so that it might nourish you and bring your favor upon our humble village...
ATLH307	...and not upset nor agitate your Ulcerative Caldera...
ATLH308	Okay boys... toss 'im in!
ATLH309	You've been a wonderful audience! Thank you and good night!
ATLH310	You fool! You've given cheese to a lactose intolerant volcano god!
ATLH311	Do you know what that means? You've brought about the Coming of the Divine Dysentery!
ATLH312	Run for your lives!
ATGT313	Wow! That was more spectacular than I had hoped!
ATLH314	Hey!
ATLH315	Get out of here!
ATLH316	You'll spoil the ceremony!
ATGT317	You feed the volcano mannequins made from vegetables?
ATLH318	Yes we do.
ATLH319	Sherman isn't a strict vegetarian...
ATLH320	...but fatty foods can cause him severe indigestion.
ATGT321	Nice day for a sacrifice.
ATLH322	Only one a day. Sherman is sensitive to over-feeding.
ATNZ323	sacrifice
ATNZ324	massive seething caldera
ATGT325	Bubbly.
ATGT326	I'd lose my hand in that!
ATGT327	Hail, hail the god of the volcano!
ATGT328	It wouldn't make a suitable sacrifice.
ATNZ329	massive seething caldera
ATNZ330	Lemonhead
ATGT331	It's the leader of the cannibals.
ATGT332	I don't want to throw HIM into the volcano.
AGSO301	Stand aside or I'll strike you down!
AGSO302	Hi there, neighbor! Got any diamonds?
AGSO303	So, where's this huge diamond you guys are supposed to have?
AGSO304	Good afternoon. I'm the new Skull Island diamond inspector...
AGSO305	I have got SO much money it's almost embarrassing.
AGSO306	Whoops! I must have the wrong cave. Later!
AGCR307	Grrr...
AGGT308	Err... I'll strike you down with how polite and reasonable I can be.
AGKA309	We seem to have an unwanted visitor, Cruff. Deal with him.
AGGT310	Darn. Let me try that again.
AGGT311	Wouldn't you know but I'm fresh out!
AGKA312	Go away.
AGGT313	Darn. Let me try that again.
AGCR314	Grrr...
AGKA315	Have at him, Cruff.
AGGT316	Darn. Let me try that again.
AGGT317	I'm going to have to see every diamond you've got. Every last one.
AGGT318	Come on, people! Chop chop! I don't have all day!
AGKA319	I do not like this man. Kill him.
AGGT320	Darn. Let me try that again.
AGKA321	Well, hello! Let's talk, Mister ahhh...?
AGSO322	Threepwood. Guybrush Threepwood.
AGSO323	LeChuck. Zombie Pirate LeChuck.
AGSO324	Goodsoup. Wonton Goodsoup.
AGSO325	Loogie. Captain Loogie.
AGSO326	VanGoughderfassenson. Jethro VanGoughderfassenson.
AGSO327	Tito. Just Tito.
AGKA328	Very well, Mister Threepwood...
AGGT329	Hey! How did you know my...
AGKA330	It is my BUSINESS to know who enters and who leaves Skull Island.
AGKA331	I am King André, and this is my associate Cruff.
AGKA332	Were you looking for something in particular?
AGGT333	The Goodsoup family diamond.
AGGT334	LeChuck stole it, you bought it, I want it. Now.
AGCR335	Grrr...
AGGT336	Please.
AGGT337	Sir.
AGKA338	But we have so much quality merchandise here at the Pirates' Club!
AGCR339	Our prices get lower every day.
AGKA340	Everything a pirate -- or pirate in training -- could possibly want is here...
AGKA341	...for the right price.
AGKA342	HA HA HA HA HA HA HA HA HA HA HA HA HA HA HA!
AGSO343	I don't get it.
AGSO344	Could you not laugh like that anymore?
AGSO345	You're such an odd person.
AGSO346	You're evading the whole diamond issue.
AGKA347	The Goodsoup diamond is the centerpiece of my collection...
AGKA348	...the fantastic energy flowing through it is the key to all my power!
AGGT349	So can I have it?
